file	raw_width	raw_height	display_width	display_height	exif_orientation	brightness	center_brightness	contrast	sharpness	underexposed_pct	overexposed_pct	flags
1103-07-Chimecho.jpg	4080	3072	3072	4080	6	57.79	59.45	47.56	26.5	15.89	0.11	
1104-07-Chimecho.jpg	4080	3072	3072	4080	6	59.78	60.23	47.68	25.43	14.6	0.06	
1105-07-Chimecho.jpg	4080	3072	3072	4080	6	58.94	60.06	48.11	20.64	14.91	0.02	
1106-07-Chimecho.jpg	4080	3072	3072	4080	6	71.77	65.38	48.42	24.87	7.37	0.0	
1201-07-Spheal.jpg	4080	3072	3072	4080	6	58.04	59.7	48.72	17.14	16.15	0.02	
1202-07-Spheal.jpg	4080	3072	3072	4080	6	58.45	60.05	48.81	19.7	16.17	0.02	
1203-07-Spheal.jpg	4080	3072	3072	4080	6	57.79	59.96	47.93	23.12	16.01	0.09	
1204-07-Spheal.jpg	4080	3072	3072	4080	6	60.18	61.29	48.54	22.62	14.91	0.14	
1205-07-Spheal.jpg	4080	3072	3072	4080	6	58.23	60.08	48.66	17.83	16.13	0.01	
1206-07-Spheal.jpg	4080	3072	3072	4080	6	63.68	59.51	47.73	26.21	12.14	0.0	
1301-07-Latios.jpg	4080	3072	3072	4080	6	62.0	60.77	48.71	25.32	14.38	0.01	
1302-07-Latios.jpg	4080	3072	3072	4080	6	58.95	58.5	48.25	24.61	16.65	0.01	
1304-07-Latios.jpg	4080	3072	3072	4080	6	60.12	59.65	47.78	28.32	15.02	0.08	
1305-07-Latios.jpg	4080	3072	3072	4080	6	59.35	57.56	47.75	24.16	16.24	0.0	
1306-07-Latios.jpg	4080	3072	3072	4080	6	64.27	59.41	47.56	29.1	11.47	0.0	
1401-07-Timburr.jpg	4080	3072	3072	4080	6	56.92	58.41	47.71	20.48	17.03	0.05	
1402-07-Timburr.jpg	4080	3072	3072	4080	6	57.15	58.56	47.53	20.62	16.16	0.04	
1403-07-Timburr.jpg	4080	3072	3072	4080	6	59.94	62.4	48.92	21.45	14.75	0.09	
1404-07-Timburr.jpg	4080	3072	3072	4080	6	57.63	60.1	48.81	25.21	16.68	0.1	
1405-07-Timburr.jpg	4080	3072	3072	4080	6	57.46	58.84	47.61	19.56	15.83	0.04	
1501-07-Joltik.jpg	4080	3072	3072	4080	6	58.68	60.77	48.99	23.84	15.95	0.02	
1502-07-Joltik.jpg	4080	3072	3072	4080	6	58.27	60.08	48.66	23.62	15.85	0.02	
